id,sku,nombre,tier,razon_categorizacion,tiene_foto,precio_actual,precio_sugerido_usd,prioridad_publicacion,notas_copy
WM-TUN-006,WM-TUN-006,Brass Mandala Svastika Tunnels (16-25mm),curated,ALERTA CRÍTICA: 'Svastika' — símbolo hindú/budista. Prohibido en copy Wenu Mapu por mezcla de tradiciones. Pieza de proveedor.,si,$0,$48,4,RENOMBRAR obligatorio: 'Brass Geometric Tunnels (16-25mm)'. El diseño geométrico puede describirse por forma sin nombrarlo. Decisión del dueño si publicar.
WM-TUN-007,WM-TUN-007,Solar Light Weight Tunnel — Mandala Floral 12mm,curated,Tunnel ligero de proveedor. 'Mandala' es concepto hindú/budista — no usar en copy. Renombrar.,si,$0,$38,3,RENOMBRAR sugerido: 'Floral Geometric Tunnel 12mm'. Copy: diseño floral calado — sin mandala ni solar.
WM-TUN-013,WM-TUN-013,Gold Plain Tunnel 16mm,curated,Tunnel básico dorado. Proveedor. Pieza entry-level.,si,$0,$32,3,Foto lista. Pieza simple — copy honesto y directo.
WM-TUN-014,WM-TUN-014,Medusa Serpent Surgical Steel Expanders (20mm),curated,Tunnel de proveedor con grabado Medusa. Copy interno ya existe: 'Serpientes grabadas. Medusa convierte la mirada en piedra y la piel en mito.' — mitología mediterránea OK.,si,$0,$55,1,Foto lista. Copy interno excelente. Medusa como figura mitológica universal — no Wenu claim pero tampoco lo reclama.
2086,WM-MET-001,Ritual Ring Vacamuerta No.3 — Sterling Silver & Atacama Meteorite,atacama,Plata 925 + meteorito Atacama certificado. Línea transversal Atacama Meteorite. Material único de la marca.,si,$150,$260,1,Producto ancla de la marca. Copy existente en copy-bank. Precio actual ($150) muy bajo — subir a $240-260. Prioridad máxima.
2085,WM-MET-002,Ritual Ring No.19 — Sterling Silver + Atacama Meteorite,atacama,Plata 925 + meteorito Atacama. Segunda pieza de la línea transversal Atacama.,si,$150,$240,1,Cross-link con No.3. Copy existente en copy-bank. Misma urgencia de precio.
2084,WM-MET-003,Ritual Ring Vacamuerta No.19 — Sterling Silver & Atacama Meteorite,atacama,Tercera entrada de la misma línea — posible duplicado de 2085. Auditar si es variante o producto distinto.,no,$120,$240,3,REVISAR: puede ser duplicado del id 2085. Si es variante (diferente tamaño/peso), crear como variante WC no como producto separado.
2079,WM-AUT-079,Aonik,atelier-forged,Nombre 'Aonik' = Ocin al revés (alter-ego del taller). Indica pieza autor de Marimari. Sin foto ni descripción actualmente.,no,$0,$180,3,En draft. Necesita foto + descripción. Pieza de taller — confirmar si es forjada o ensamblada para subcategoría correcta.
1811,WM-HAN-WC01,Ear Gauges — Certified Walnut Wood,curated,Madera certificada walnut — proveedor pero material premium diferencial. El 'Certified' agrega credibilidad. $120 actual correcto.,si,$120,$120,1,Ya publicado y con precio correcto. Solo falta descripción larga (audit dice no_desc). Agregar descripción hoy — 5 min.
1786,WM-HAN-WC02,Handmade Hanger — Surgical Steel 10mm (WM-HAN-001/002/004),atelier-assembled,NocoDB lo marca como Handmade. Steel hanger ensamblado. Precio $15 muy bajo para tier Assembled.,si,$15,$40,2,Precio debe subir a $35-40. Nombre genérico — candidato a renombrar.
1785,WM-HAN-WC03,Surgical Steel Hanger 10mm Detail (foto-como-producto WM-HAN-003),curated,ALERTA: Este ID (1785) es foto de ángulo publicada como producto separado. Debe despublicarse y la imagen moverse a galería del canonical.,si,$15,$0,5,DESPUBLICAR — no es producto real. Es foto de detalle del WM-HAN-003.
1810,WM-PLG-WC01,Stone Plug 10mm Detail (foto-como-producto WM-PLG-004),curated,ALERTA: Este ID (1810) es foto de ángulo publicada como producto separado. Despublicar.,si,$25,$0,5,DESPUBLICAR — misma situación que 1785.
1800,WM-LAB-003,Steel Labret 10mm (WM-LAB-003),atelier-assembled,Labret ensamblado en acero. NocoDB Handmade. Precio $18 muy bajo.,si,$18,$35,2,Subir precio a $35. Renombrar con especificación de gauge y material.
1787,WM-HAN-004,Surgical Steel Hanger 10mm (WM-HAN-004),atelier-assembled,Hanger ensamblado. Precio $15 muy bajo.,si,$15,$35,2,Subir precio. Mismo caso que otros hangers assembled.
593,WM-WOO-593,Ear Gauges — Certified Walnut Wood (variant/duplicate),curated,Posible duplicado del 1811 o variante de tamaño. Verificar en WC admin.,si,$120,$120,4,Si es variante — convertir a variante del canonical. Si es duplicado — merge.
2083,WM-PLG-083,Stainless Steel Spiral Engraved Plugs,curated,Plug de proveedor con grabado espiral. Sin precio actualmente.,no,$0,$42,2,Sin foto — bloqueo. Precio 0. Dos bloqueos simultáneos. Resolver foto primero.
2082,WM-HAN-082,Witral Ornamental Hanger — Brass + Walnut,atelier-assembled,Nombre con mapudungun (witral). Brass + walnut ensamblado. Copy existente en copy-bank.,no,$0,$86,2,Sin foto — bloqueo principal. Copy excelente ya existe. Solo falta foto.
2081,WM-PLG-081,Teardrop Ammonite Plug — Walnut + Bronze,curated,Fossil + walnut + bronze de proveedor. Copy existente en copy-bank.,no,$0,$128,1,Sin foto — bloqueo. Precio potencial alto ($128) lo hace prioritario en foto.
2080,,Pronto,curated,Placeholder sin nombre real. Borrar.,no,$0,$0,5,BORRAR de WC.
2078,,producto prueba,curated,Test entry. Borrar.,no,$0,$0,5,BORRAR de WC.
2077,WM-PRC-077,Mystic Bee Titanium Piercing,curated,Piercing de proveedor. 'Mystic' OK en voz Wenu. Sin claim ancestral.,si,$25,$52,1,Precio muy bajo ($25). Copy existente en copy-bank. Subir a $52.
2076,WM-PRC-076,Mystic Snake Piercing,curated,Piercing de proveedor. Par temático con Bee.,si,$25,$52,1,Mismo caso — subir a $52. Bundle Snake+Bee=$95 como opción futura.
2075,WM-HAN-075,Diamond Walnut Wood Hangers,curated,Walnut hanger de proveedor. Material premium diferencial.,si,$50,$75,1,Precio $50 correcto pero puede subir a $65-75 dado el material walnut.
2074,WM-HAN-053,Large Gauge Hoop Hanger — Ear Weights,curated,Heavy gauge hanger/ear weight. Copy en copy-bank como 'Large Gauge Hoop Hanger — Sterling Silver 950' — verificar material real.,si,$0,$55,1,Precio 0 — bloqueo. Copy existente.
2073,WM-PLG-073,Teardrop Amethyst,curated,Plug con amatista. Stone natural. Sin claim.,si,$0,$75,1,Precio 0. Foto disponible en WC. Asignar precio hoy.
2072,,Octagonal Wooden Sunglasses,curated,Fuera del core de body jewelry. Lentes de madera — proveedor.,si,$136.99,$136.99,5,Mantener precio. Baja prioridad — no es core del catálogo.
2071,,Ethnic Carved Details,curated,Ring con detalles tallados. Proveedor. Nombre vago.,si,$50,$50,3,Nombre muy vago. Renombrar con material y forma específica.
2070,WM-PLG-070,Tribal Bell Surgical Steel Expansions,curated,Expansión de proveedor con detalle bell/campana. 'Tribal Bell' OK en nomenclatura Wenu.,si,$30,$55,2,Precio muy bajo ($30). Subir a $55.
2069,WM-PLG-069,Tribal Bronze Expansions,curated,Expansión bronce. Proveedor. Copy en copy-bank referenciable.,si,$0,$62,1,Precio 0. Foto en WC. Asignar precio.
2068,WM-PLG-068,Bronze Spiral Expansion,curated,Expansión bronce espiral. Proveedor.,si,$0,$58,2,Precio 0. Traducir nombre del español.
2067,WM-HAN-067,Ornamental Ear Weight,curated,Ear weight ornamental. Proveedor. Categoría con link activo en nav — urgente.,si,$0,$68,1,Precio 0 — categoría Ear Weights vacía en navegación. Publicar urgente.
2066,WM-SAD-066,Black Surgical Steel Snake Saddle Expander (Golden Eye),curated,Saddle expander de proveedor. Snake + golden eye — voz OK.,si,$0,$68,1,Precio 0. Foto en WC. Asignar precio.
2065,WM-PLG-065,Smooth Plug — Dark Wood,curated,Plug madera liso. Proveedor. Entry level.,si,$0,$22,4,Precio 0. Pieza muy básica — baja prioridad.
2064,WM-TUN-064,Wood Tunnel Expansion,curated,Tunnel madera. Proveedor. Básico.,si,$0,$28,4,Precio 0. Básico.
2063,WM-PLG-063,Lotus Flower Expansion — Bronze,curated,Expansión bronce con diseño loto. Proveedor. Copy en copy-bank.,no,$0,$58,2,Sin foto. Copy listo. Foto bloquea.
2062,WM-PRC-062,Three Dots Titanium Piercing,curated,Piercing titanio tres puntos. Proveedor.,si,$0,$32,2,Precio 0. Foto en WC. Asignar precio. Traducir nombre del español.
2061,WM-RIN-061,Single Marquise Ring,curated,Anillo marquise. Proveedor. Nombre actual mal escrito ('Marquezs').,si,$0,$42,2,Precio 0 + typo en nombre. Corregir a 'Marquise' antes de publicar.
2060,WM-SEP-060,Golden Drop Clicker Septum,curated,Septum clicker dorado. Proveedor.,si,$0,$58,1,Precio 0. Foto en WC.
2059,WM-RIN-059,Drop Ring — Sterling Silver 950,atelier-assembled,Drop ring — copy en copy-bank indica plata 950 formada a mano. Posible pieza ensamblada/autor.,no,$0,$58,2,Sin foto. Copy excelente en copy-bank. Confirmar si es forjado (→forged) o ensamblado.
2058,WM-SEP-058,Septum Clicker with Chain — Gold-Tone Surgical Steel,curated,Septum con cadena. Proveedor. Copy en copy-bank.,si,$0,$48,2,Precio 0. Foto en WC.
2057,WM-PRC-057,Multi-Ring Clicker for Ear Expansions,curated,Multi-ring clicker. Proveedor.,si,$0,$35,3,Precio 0.
2056,WM-HAN-056,Golden Geometric Triangular Hanger Weight,curated,Ear weight geométrico triangular. Proveedor.,si,$0,$72,1,Precio 0. Categoría Ear Weights vacía — urgente publicar.
2055,WM-SEP-055,6mm Titanium Septum Rings,curated,Septum titanio entry. Proveedor.,si,$0,$45,2,Precio 0.
2054,WM-SEP-054,6mm Silver Titanium Septum Rings,curated,Septum titanio plata. Proveedor.,si,$0,$48,2,Precio 0.
2053,WM-HAN-053b,Large Gauge Hoop Hanger,atelier-assembled,Hanger aro gran calibre. Copy en copy-bank indica plata 950 formada a mano — si es así: assembled.,no,$0,$95,2,Sin foto. Copy listo. Confirmar material.
2052,WM-PLG-052,Teardrop Expansion — Faceted Stone,curated,Expansión con piedra facetada. Proveedor. Copy en copy-bank.,si,$0,$48,2,Foto en WC. Confirmar tipo de piedra (CZ vs natural).
2051,WM-PLG-051,Fluorite Plug — Polished Stone,curated,Plug fluorita natural. Proveedor. Copy en copy-bank.,no,$0,$72,2,Sin foto. Copy listo.
2050,WM-PLG-050,Medusa Expansion — Bronze,curated,Expansión bronce Medusa. Proveedor. Copy en copy-bank.,no,$0,$68,2,Sin foto. Copy listo.
WM-PLG-001,WM-PLG-001,Handmade Plug — Stone 10mm (WM-PLG-001),atelier-assembled,NocoDB Handmade. Plug piedra ensamblado. Nombre genérico — candidato a renombrar por tipo de piedra.,si,$25,$38,3,Precio puede subir. 15 variantes de este tipo — consolidar bajo producto con variantes de piedra.
WM-PLG-002,WM-PLG-002,Handmade Plug — Stone 10mm (WM-PLG-002),atelier-assembled,Idem WM-PLG-001. Variante de piedra distinta.,si,$25,$38,3,Ver nota WM-PLG-001.
WM-PLG-003,WM-PLG-003,Handmade Plug — Stone 10mm (WM-PLG-003),atelier-assembled,Idem.,si,$25,$38,3,Ver nota WM-PLG-001.
WM-PLG-004,WM-PLG-004,Handmade Plug — Stone 10mm (WM-PLG-004),atelier-assembled,Idem.,si,$25,$38,4,Tiene foto de detalle publicada como producto separado (ID 1810) — despublicar el detalle.
WM-PLG-005,WM-PLG-005,Handmade Plug — Stone 10mm (WM-PLG-005),atelier-assembled,Idem.,si,$25,$38,3,Ver nota WM-PLG-001.
WM-PLG-006,WM-PLG-006,Handmade Plug — Stone 10mm (WM-PLG-006),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-007,WM-PLG-007,Handmade Plug — Stone 10mm (WM-PLG-007),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-008,WM-PLG-008,Handmade Plug — Stone 10mm (WM-PLG-008),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-009,WM-PLG-009,Handmade Plug — Stone 10mm (WM-PLG-009),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-010,WM-PLG-010,Handmade Plug — Stone 10mm (WM-PLG-010),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-011,WM-PLG-011,Handmade Plug — Stone 10mm (WM-PLG-011),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-012,WM-PLG-012,Handmade Plug — Stone 10mm (WM-PLG-012),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-013,WM-PLG-013,Handmade Plug — Stone 10mm (WM-PLG-013),atelier-assembled,Idem.,si,$25,$38,4,Ver nota.
WM-PLG-014,WM-PLG-014,Handmade Plug — Stone 10mm (WM-PLG-014),atelier-assembled,Tiene foto de detalle como producto separado — despublicar detalle.,si,$25,$38,4,Ver nota. + despublicar foto-como-producto.
WM-PLG-015,WM-PLG-015,Handmade Plug — Stone 10mm (WM-PLG-015),atelier-assembled,Canonical del cluster dup-5 con 13 duplicados.,si,$25,$38,4,Resolver cluster dup-5 antes de tocar.
WM-LAB-001,WM-LAB-001,Steel Labret 10mm (WM-LAB-001),atelier-assembled,Labret acero ensamblado. Handmade en NocoDB.,si,$18,$35,3,Precio muy bajo. Subir a $35.
WM-LAB-002,WM-LAB-002,Steel Labret 10mm (WM-LAB-002),atelier-assembled,Idem WM-LAB-001.,si,$18,$35,3,Precio muy bajo.
WM-HAN-001b,WM-HAN-001,Handmade Hanger — Surgical Steel 10mm (WM-HAN-001),atelier-assembled,Hanger acero ensamblado. Precio $15 muy bajo.,si,$15,$35,3,Precio muy bajo. Mismo cluster que WM-HAN-002/004.
WM-HAN-002,WM-HAN-002,Handmade Hanger — Surgical Steel 10mm (WM-HAN-002),atelier-assembled,Idem.,si,$15,$35,3,Precio muy bajo.
WM-HAN-003,WM-HAN-003,Curated Surgical Steel Body Hanger 10mm (WM-HAN-003),atelier-assembled,Idem. Nombre 'Curated' en el original — sin descripción actualmente.,si,$15,$35,3,Precio bajo + falta descripción.
WM-SEP-001,WM-SEP-001,Septum Ring (WM-SEP-001),atelier-assembled,Septum ring ensamblado. Nombre genérico.,si,$25,$38,3,Nombre genérico — renombrar con material específico.
WM-RNG-001,WM-RNG-001,Ring (WM-RNG-001),atelier-assembled,Ring básico. Nombre genérico — categoría Plug en WC (inconsistente).,si,$25,$38,4,Nombre y categoría inconsistentes. Renombrar y recategorizar.
2086-septum-reactivacion,WM-SEP-NEW,Septum en plata (en proceso — 2026-05-18),atelier-forged,Reactivación del taller 2026-05-18. Septum forjado en plata — primera pieza nueva después de 4 años. En proceso.,no,$0,$180,1,SIN PUBLICAR hasta tener foto. Crear ficha ahora para tener copy listo al terminar la pieza.
2086-septum-2,WM-SEP-NEW2,Segundo septum en plata (en proceso — 2026-05-18),atelier-forged,Segunda pieza del retorno al taller.,no,$0,$180,2,Idem — ficha lista para cuando esté terminada.
